"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2024","27,800.0","28,000.0","28,000.0","27,550.0","10.19M","-0.71%"
"02/29/2024","28,000.0","28,100.0","28,250.0","27,700.0","9.95M","0.00%"
"02/28/2024","28,000.0","27,650.0","28,000.0","27,550.0","10.46M","1.45%"
"02/27/2024","27,600.0","27,700.0","27,700.0","27,350.0","12.05M","0.36%"
"02/26/2024","27,500.0","27,300.0","27,700.0","27,100.0","9.79M","0.00%"
"02/23/2024","27,500.0","27,700.0","28,400.0","27,300.0","25.98M","-0.54%"
"02/22/2024","27,650.0","27,700.0","27,750.0","27,500.0","7.40M","-0.18%"
"02/21/2024","27,700.0","27,500.0","27,900.0","27,400.0","10.25M","0.54%"
"02/20/2024","27,550.0","27,500.0","27,750.0","27,350.0","7.32M","-0.54%"
"02/19/2024","27,700.0","27,700.0","27,700.0","27,200.0","11.86M","0.36%"
"02/16/2024","27,600.0","27,500.0","27,600.0","27,300.0","9.50M","1.47%"
"02/15/2024","27,200.0","28,050.0","28,400.0","27,200.0","14.24M","-2.86%"
"02/07/2024","28,000.0","27,850.0","28,200.0","27,850.0","11.89M","0.54%"
"02/06/2024","27,850.0","27,850.0","27,900.0","27,650.0","5.45M","0.18%"
"02/05/2024","27,800.0","26,250.0","28,000.0","26,150.0","28.12M","5.90%"
"02/02/2024","26,250.0","25,950.0","26,300.0","25,850.0","14.53M","0.96%"
"02/01/2024","26,000.0","25,700.0","26,100.0","25,700.0","6.28M","0.97%"
"01/31/2024","25,750.0","26,100.0","26,100.0","25,550.0","12.16M","-0.77%"
"01/30/2024","25,950.0","26,050.0","26,200.0","25,900.0","6.38M","0.00%"
"01/29/2024","25,950.0","26,500.0","26,500.0","25,950.0","9.28M","-1.33%"
"01/26/2024","26,300.0","25,850.0","26,400.0","25,850.0","6.86M","1.94%"
"01/25/2024","25,800.0","25,850.0","25,900.0","25,600.0","5.09M","0.00%"
"01/24/2024","25,800.0","26,050.0","26,100.0","25,700.0","11.34M","-0.96%"
"01/23/2024","26,050.0","26,250.0","26,450.0","26,050.0","11.73M","-0.95%"
"01/22/2024","26,300.0","26,200.0","26,300.0","25,800.0","12.00M","1.35%"
"01/19/2024","25,950.0","25,800.0","25,950.0","25,650.0","12.77M","1.37%"
"01/18/2024","25,600.0","25,450.0","25,750.0","25,350.0","9.61M","0.79%"
"01/17/2024","25,400.0","25,450.0","25,800.0","25,350.0","9.71M","0.00%"
"01/16/2024","25,400.0","25,400.0","25,550.0","25,050.0","12.38M","0.40%"
"01/15/2024","25,300.0","26,000.0","26,000.0","25,300.0","11.72M","-1.94%"
"01/12/2024","25,800.0","25,150.0","26,200.0","25,050.0","25.56M","2.18%"
"01/11/2024","25,250.0","25,400.0","25,750.0","25,150.0","9.93M","0.00%"
"01/10/2024","25,250.0","25,200.0","25,500.0","25,000.0","17.60M","1.00%"
"01/09/2024","25,000.0","25,250.0","25,350.0","24,950.0","15.45M","-1.38%"
"01/08/2024","25,350.0","25,700.0","25,750.0","25,200.0","12.39M","-0.39%"
"01/05/2024","25,450.0","25,300.0","25,450.0","25,050.0","9.27M","0.59%"
"01/04/2024","25,300.0","25,200.0","25,650.0","25,100.0","23.59M","1.20%"
"01/03/2024","25,000.0","24,500.0","25,000.0","24,250.0","9.80M","2.25%"
"01/02/2024","24,450.0","23,950.0","24,750.0","23,950.0","13.88M","2.30%"
"12/29/2023","23,900.0","23,900.0","24,100.0","23,800.0","9.20M","0.63%"
"12/28/2023","23,750.0","23,300.0","23,950.0","23,300.0","10.51M","1.93%"
"12/27/2023","23,300.0","23,200.0","23,400.0","23,200.0","4.87M","0.22%"
"12/26/2023","23,250.0","23,400.0","23,400.0","23,250.0","5.73M","-0.43%"
"12/25/2023","23,350.0","23,250.0","23,450.0","23,200.0","7.58M","0.65%"
"12/22/2023","23,200.0","23,200.0","23,300.0","23,200.0","4.51M","-0.22%"
"12/21/2023","23,250.0","23,200.0","23,250.0","23,050.0","7.08M","0.22%"
"12/20/2023","23,200.0","23,050.0","23,250.0","23,050.0","8.86M","0.65%"
"12/19/2023","23,050.0","22,800.0","23,100.0","22,800.0","11.47M","1.10%"
"12/18/2023","22,800.0","22,700.0","22,800.0","22,650.0","6.39M","0.22%"
"12/15/2023","22,750.0","22,600.0","22,850.0","22,550.0","6.19M","1.11%"
"12/14/2023","22,500.0","22,400.0","22,750.0","22,300.0","6.95M","0.90%"
"12/13/2023","22,300.0","22,500.0","22,550.0","22,300.0","3.93M","-0.89%"
"12/12/2023","22,500.0","22,450.0","22,500.0","22,300.0","3.23M","0.45%"
"12/11/2023","22,400.0","22,450.0","22,500.0","22,250.0","2.27M","0.00%"
"12/08/2023","22,400.0","22,400.0","22,550.0","22,300.0","3.81M","0.00%"
"12/07/2023","22,400.0","22,300.0","22,500.0","22,200.0","7.24M","0.45%"
"12/06/2023","22,300.0","22,150.0","22,300.0","22,000.0","2.79M","0.68%"
